title,location,experience,skills,company,salary,description,posted_date
Job Opening for Data Analyst and Unity3d Software Developer,Pune,4-6 yrs,"machine learning, pattern recognition, data mining, artificial intelligence...",Emdep Testboards Pvt Ltd,  Not disclosed ,"Experience developing and optimizing for mobile devices (iOS, Android, etc.);Good to have knowledge of ...",10 days ago
Software Development Manager - Machine Learning - Java/perl/aws/agile,Bengaluru,10-15 yrs,"Java, Software Development, Algorithms, Development Management, Scrum...",CAREER MAKERS,  Not disclosed ,- Experience with large scale webserver infrastructure;- 10+ years of relevant software engineering ...,8 days ago
Research Scientist/engineer - Computer Vision/machine Learning,Hyderabad,10-15 yrs,"Computer Vision, Deep Learning, C++, Image Processing, Algorithms...",CAREER MAKERS,  Not disclosed ,"- Experience in developing small foot print vision algorithms on Mobile platforms "";- Experience with ...",8 days ago
Research Scientist/engineer - Computer Vision/machine Learning,Hyderabad,4-9 yrs,"Computer Vision, Deep Learning, C++, Image Processing, Algorithms...",CAREER MAKERS,  Not disclosed ,"- Experience in developing small foot print vision algorithms on Mobile platforms "";- Experience with ...",8 days ago
Research Scientist - Machine Learning/artificial Intelligence,Bengaluru,3-8 yrs,"c++, artificial intelligence, java, data structures, machine learning...",CAREER MAKERS,  Not disclosed ,"""Experience/qualifications requirements :   - 3 to 11+ years of experience.   - Have ...",8 days ago
Proof of Concept and Innovation,Chennai(Anna Industrial Estate),2-7 yrs,"python, android development, machine learning, software development, poc...",KONE Elevator India Pvt. Ltd,  Not disclosed ," 	IOT  Sensors, motion, acoustic, vibration, humidity, temperature knowledge is good to have ...",10 days ago
R&D Expert - NLP/ Machine Learning - Java/ C#/ C++/ Python/ Perl,Bengaluru,7-11 yrs,"C++, Java, Natural Language Processing, Data Structures, NLP, Algorithms...",CAREER MAKERS,  Not disclosed ,- 10+ years relevant work experience including hands-on technical experience;- Experience in machine ...,8 days ago
Computer Vision/ Machine Learning Expert - C/ C++,Bengaluru,3-6 yrs,"C, Deep Learning, C++, Computer Vision, Algorithms, Machine Learning...",CAREER MAKERS,  Not disclosed ,"- Experience in ML techniques: SVM, boosting, K-means, KNN, HMM, GMM, Ensemble classifier, deep learning ...",8 days ago
Research Engineer - Big Data/machine Learning - Java/c++/perl/python,Bengaluru,3-8 yrs,"Research Engineer, Big Data, Machine Learning, Python, C++...",Career Makers,  Not disclosed ,- Experience working with retail or e-commerce data;- Experience handling gigabyte and terabyte size ...,10 days ago
Senior Manager Research Scientist - Machine Learning,Bengaluru,12-18 yrs,"Research Scientist, Machine Learning, SQL, Perl, Ruby, Groovy, C++, Java...",Career Makers,  Not disclosed ,- Experience designing and implementing transportation optimization models with focus on volume and ...,10 days ago
Elastic Machine Learning Professional - C / C++ / C# / Java / Perl,Bengaluru,5-10 yrs,"Elastic Machine Learning, Java, Perl, C / C++, Machine Learning, C#...",Career Makers,  Not disclosed ,- 5+ years professional experience in software development;- Equivalent experience to a Bachelors degree ...,10 days ago
Machine Learning Manager - R/python/java,Hyderabad,6-11 yrs,"Machine Learning Manager, R, Python, Java, Map - Reduce, MPI...",Career Makers,  Not disclosed ,2+ years of experience managing technical teams;- 3+ years of experience managing technical teams;- 3 ...,10 days ago
Machine Learning Scientist - Python/ Java/ C++,Bengaluru,5-10 yrs,"python, java, c++, machine learning scientist, machine learning...",Career Makers,  Not disclosed ,- 8+ years of hands-on experience in machine learning and large data analysis;- Experience with deep ...,10 days ago
Machine Learning Scientist - R / Python,Bengaluru,4-9 yrs,"Machine Learning Scientist, Machine Learning, Python, R, data mining...",Career Makers,  Not disclosed ,"- 5-10+ years of industrial experience in predictive modeling and analysis, predictive software ...",10 days ago
Senior Product Manager/ Associate Director Products- Premium Institute,Gurgaon,0-3 yrs,"Machine Learning, Natural Language Processing, Sales, Customer Research...",VMock,  Not disclosed ,Coding and software development experience preferred;Strong academic background UG in engineering ...,10 days ago
Business Analyst,Gurgaon,0-4 yrs,"Market Research, Marketing, Analytics, Strategy, Product Innovation...",VMock,  Not disclosed ,"Assess client satisfaction and developing innovative strategies, tools and modifications to improve ...",10 days ago
Senior Data Scientist,Chennai,2-5 yrs,"Deep Learning, C, Machine Learning, Artificial Intelligence, Java, C++...",Accel  Frontline Limited,  Not disclosed ,Responsibilities: Identify key technical issues and focus resources to produce cutting-edge technical ...,10 days ago
Machine Learning/data Scientist,Gurgaon,1-3 yrs,"C, HTML, Laravel, CSS, C++, PHP, MySQL, Opencv, Python, Computer Vision",VMock,  Not disclosed ,"Comfortable in Text analysis tools and libraries such as NLTK, Spacy, Syntaxnet and Natural Language ...",10 days ago
Senior Software Engineer,Hyderabad,2-4 yrs,"C, Java, Information Retrieval, Python, Data Structures, Machine Learning...",Lexent Bio,  Not disclosed ,You have excellent project management skills with at-least 3 years of experience in leading teams;- You ...,10 days ago
Software Development Engineer - C/ C++/ Java,Bengaluru,1-4 yrs,"C, Algorithms, C++, Data Structures, Java, Software Engineering...",rupeek,  Not disclosed ,"Engineering team consisting of past startup founders, IIT alumni and serial hackathon winners-;Must be ...",10 days ago
Senior Software Engineer - C/ C++/ Java,Bengaluru,4-8 yrs,"C, Data Structures, C++, Algorithms, Java, Software Engineering...",rupeek,  Not disclosed ,"Engineering team consisting of past startup founders, IIT alumni and serial hackathon winners-;Strong, ...",10 days ago
Java Developer - Backend Development - Machine Learning/python/scala,Mumbai,3-6 yrs,"Java, Redis, Solr, Python, SCALA, MySQL, Machine Learning...",Premium,  Not disclosed ,- Experience in leading multi-engineer projects and mentoring junior engineers;- At least 2 years of ...,10 days ago
Back End Developer - Java/solr,Mumbai,3-5 yrs,"Java, SCALA, Spring, Python, Solr, Redis, Machine Learning, Algorithms, Web...",Premium,  Not disclosed ,- Experience in leading multi-engineer projects and mentoring junior engineers;- At least 2 years of ...,10 days ago
Data Scientist - Machine Learning/ NLP,Bengaluru,5-10 yrs,"NLP, Machine Learning, Python, SCALA, SQL, Java, Hadoop, Data Mining...",Wish Workforce Augmentation Services,  Not disclosed ,"- 3-5 years of experience using machine learning and related frameworks, including pytorch, tensorflow, ...",10 days ago
Principal SW Engineer - IT,Bengaluru,9-12 yrs,"IT Engineer, SQL, Automation, Data analysis, Change management...",Dell International Services India  Private Limited,  Not disclosed ,"Good experience of developing cloud native services ,  load balancing ,  message queueing ,  No- sql ...",10 days ago
Apps Dev Sr. Programmer Anlyst,Pune,2-5 yrs,"SQL, Unix, Linux, Shell scripting, Python, Information technology...",Citibank  N.A,  Not disclosed ,Participation in various center level activities so as to get maximum exposure to the corporate ...,10 days ago
Senior Support Engineer - SAP Leonardo Expert - IoT & ML,Bengaluru,3-8 yrs,"Artificial Intelligence, Machine Learning, Java, Supply Chain Planning, Sap...",SAP Labs India Pvt. Ltd.,  Not disclosed ,Should have good communication skills to work with our global teams and customers;Should have 3-8 years ...,11 days ago
Computer Vision Developer,Mumbai,3-4 yrs,"Computer Vision, Deep Learning, C++, Image Processing, Machine Learning...",Flochat - Startup,  Not disclosed ,- MS degree in Computer Science or any other related technical field preferred;- Experience with ...,11 days ago
Data Scientist,Hyderabad,15-20 yrs,"Machine Learning, Deep Learning, NLP, Open Source, Customer Interfacing...",setuserv - Startup,  Not disclosed ,"Work directly with and get coached by professionals with 15+ of experience in Technology, Machine ...",11 days ago
Devops Engineer,Hyderabad,1-3 yrs,"Machine Learning, Python, Ansible, Artificial Intelligence, SQL, Linux...",setuserv - Startup,  Not disclosed ,Candidates should have experience in working with release and build management activities;- 1+ years ...,11 days ago
Data Engineer,Hyderabad,3-5 yrs,"Python, Django, Redis, Machine Learning, Artificial Intelligence, Rabbitmq,...",setuserv - Startup,  Not disclosed ,"- Good understanding of the entire web stack: HTTP, RESTful API, relational database (non-relational a ...",11 days ago
Top Cyber Security Analyst/ Hackers,Bengaluru,2-3 yrs,"Top Cyber Security Analyst/ Hackers, SQL, XSS, CSRF, XXE, machine learning,...",Smart Beings- Startup,  Not disclosed ," Job Description   If you think, you are one of the best and hacking is your passion, we ...",11 days ago
Computer Vision (face Recognition) with Machine Learning.,Bengaluru,2-3 yrs,"Computer Vision, Machine learning, C++, Python, Caffe, Theano, Torch...",Smart Beings- Startup,  Not disclosed ,"Experience with at least one major deep learning framework (such as Caffe, Theano, Torch, Tensorflow);A ...",11 days ago
Data Scientist/senior Data Scientist - Machine Learning - Algorithm,Bengaluru,3-8 yrs,"Deep Learning, Machine Learning, Python, Neural Networks, R, SQL...",Inference Labs,  Not disclosed ,"- 3 to 8 years extensive experience in Building Machine learning Algorithms such as Random Forest, K ...",10 days ago
Deep Learning/machine Learning-nlp Engineer -,"Delhi NCR, Gurgaon",1-3 yrs,"Deep Learning, C, Natural Language Processing, Machine Learning, Python...",NewsBytes App-Startup,  Not disclosed ,"- At least 1 year of experience;- Experience with programming and scripting (C/C++, Python, Perl, etc. ...",11 days ago
Mathematical Software Engineer,Bengaluru,5-7 yrs,"Deep Learning, Machine Learning, Neural Networks, Computer Vision, NLP...",EYGBS (INDIA) LLP,  Not disclosed ,5+ years experience as a professional software engineer in an agile software development environment;3 ...,11 days ago
Content Specialist,"Delhi NCR, Gurgaon",0-2 yrs,"Machine Learning, Artificial Intelligence, Social Media, Keyword Research...",EVC Ventures,"    3,00,000 - 6,00,000 P.A.  ",  Location- Gurgaon     Timings- 5:30 pm-2:30 am ...,11 days ago
Business Analyst - Data Warehousing / ETL,Delhi,2-3 yrs,"Business Analyst, Data Warehousing, ETL, Python Development...",KartRocket,  Not disclosed ,"3) PL/SQL development, who will be responsible in writing procedures for relational databases {{Such as ...",11 days ago
Data Analyst - Machine Learning/ Python,Delhi,3-4 yrs,"Data Analyst, Machine Learning, Python, Clustering, Decision tree learning,...",KartRocket,  Not disclosed ,Candidate should be able to work on large data sets spread across various in-house products to find new ...,11 days ago
VP Product,Mumbai,5-6 yrs,"Software Engineering, Machine Learning, SAAS, SQL, Product Management",nanonets,  Not disclosed ,5) Should know how to use SQL and run queries;1) 2+ years Software Engineering Background is a ...,11 days ago
Senior Software Developer,Mumbai,3-6 yrs,"Rest, Web Services, Python, Machine Learning, Cassandra...",nanonets,  Not disclosed ,We are looking to hire a senior engineer with 3+ years of experience in product ...,11 days ago
Competitive Programming | Machine Learning | GATE Computer Science,Delhi NCR(Chattarpur Enclave Phase 2),3-8 yrs,"machine learning, Computer Science, information technology, Faculty...",DigiiMento Educational Services pvt. Ltd.,"    3,00,000 - 6,00,000 P.A.  ",Excellent Communication skills are required in English;Candidates from Premier Institutions like IITs or ...,11 days ago
Principal Architect,Mumbai,3-6 yrs,"Rest, Web Services, Python, Cassandra, Machine Learning, Backend...",nanonets,  Not disclosed , Job Description   We are looking to hire our first engineer. She will lead efforts in ...,11 days ago
Full Stack Engineer,Mumbai,2-3 yrs,"Rest, Web Services, Python, Machine Learning, Cassandra, Backend...",nanonets,  Not disclosed , Job Description:   We are looking to hire our first engineer. He will lead efforts in ...,11 days ago
Founding Engineer (senior Full Stack Engineer/ Principal Web Engineer),Mumbai,5-7 yrs,"Rest, Web Services, Python, Machine Learning, Cassandra, Backend...",nanonets,  Not disclosed , Job Description:   We are looking to hire our first engineer. She will lead efforts in ...,11 days ago
Data Lead Engineer - Big Data/hadoop,Bengaluru,6-11 yrs,"Information Retrieval, Java, Algorithms, Hadoop, SQL, Spark...",Squareroot Consulting Pvt. Ltd.,  Not disclosed ,"- Youve 7+ years of years of experience in a professional environment performing analysis, design and ...",11 days ago
Machine Learning Engineer - NLP,Bengaluru,3-6 yrs,"Natural Language Processing, Machine Learning, NLP, Python",Squareroot Consulting Pvt. Ltd.,  Not disclosed ,"2) Should know any of the following frameworks: tensorflow, pyTorch, caffe, mxnet, Keras and Theano;3 ...",11 days ago
Associate Project Manager - Sas/r/python/sql - KPO- Iit/nit/iim/mdi/is,Gurgaon,2-6 yrs,"SAS SQL, R, Machine Learning, Python, Alteryx, Analytics, Excel Powerpoint,...",HuQuo,  Not disclosed ,Must be able to guide team members in an analysis;Should be able to deliver results back to the Client ...,11 days ago
Bioinformatics Scientist,Hyderabad,5-7 yrs,"Bioinformatics, Data analysis, Genomics, Machine learning...",E I DuPont India Private Limited,  Not disclosed ,,11 days ago
Backend/programmer Associate - Python/java,Mumbai,0-2 yrs,"Java, Python, Machine Learning, GIT, Web Technologies, Unit Testing...",Think Analytics-Startup,  Not disclosed ,"Fluent in Python/Java- Strong experience in building RESTful API services, working with structured and ...",12 days ago
Product Analyst - Sql/r/python,Mumbai,1-4 yrs,"Hive, NoSQL, Text Mining, SQL, Couchdb, Data Extraction, Machine Learning...",Think Analytics-Startup,  Not disclosed ,"As a Product Analyst, you will:- Take end to end ownership of product analytics requirements; suggest ...",12 days ago
Analytics Manager,Mumbai,5-9 yrs,"Text Mining, Hive, NoSQL, Python, R, SQL, Data Analysis, Machine Learning...",Think Analytics-Startup,  Not disclosed ,"Strong experience in data processing such as data mining, social network analysis, text mining ...",11 days ago
Senior Business Analyst/assistant Manager - Machine Learning/r/python,Noida,2-5 yrs,"deep learning, machine learning, natural language processing...",HuQuo,  Not disclosed ,We are looking for candidates with experience in the following skill sets.- Natural Language Processing / ...,11 days ago
Manager - Modeling - KPO,"Gurgaon, Gurugram",5-8 yrs,"Forecasting, Predictive Analytics, Machine Learning, Time Series, Arima...",HuQuo,  Not disclosed ,"- 4-8 + years of relevant work experience in machine learning techniques and algorithms, such as k-NN, ...",11 days ago
Senior Consultant - SAS - IIT/ IIM/ DSE/ JNU,Gurgaon,2-6 yrs,"project management, iim, mitigation, client relationship, SAS, Analytics...",HuQuo,  Not disclosed ,Must be able to guide team members in analysis;Should be able to deliver results back to the Client ...,11 days ago
Data Engineer - Machine Learning,Mumbai,2-6 yrs,"Hive, Oozie, Hdfs, Mapreduce, Spark, NoSQL, Pig, HBase, YARN, Java, Storm...",The Hiring Story,  Not disclosed ,"- Experience in gathering and processing raw data at scale including writing scripts, web scraping, ...",11 days ago
Hiring for Data Engineer - Sr. Analyst / Assistant Manager- Chennai,Chennai,5-10 yrs,"Hadoop, Hive, Oozie, Spark, Mapreduce, Hdfs, R, SCALA, Machine Learning...",LatentView Analytics Private Limited,"    8,00,000 - 18,00,000 P.A.  ",5+ Years of experience with a strong experience working with data wrangling and analytics in the Hadoop ...,12 days ago
Associate Software Engineer,"Delhi NCR, Noida, Dehradun",0-1 yrs,"Software Engineering, Java Developer, Python Developer, Machine Learning...",SHIV Gorakh Infosystems pvt ltd,"    3,00,000 - 5,50,000 P.A.  ",- Should be enthusiastic to learn latest technologies and update knowledge regularly;Should have good ...,12 days ago
Lead - Talent Acquisition - Technical Hiring,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune",5-10 yrs,"Java, Internet Advertising, Recruitment, Campaigns, Hiring...",TalPro,  Not disclosed ,- You have worked in an Talent Acquisition / Recruitment role for at least 4-5 years at a top-tier ...,11 days ago
Data Scientist,Delhi NCR(Patparganj Industrial Area),5-10 yrs,"Deep Learning, R, Machine Learning, Python, Sales, Advanced Analytics...",NEELKANTH DRUGS PVT LTD,  Not disclosed ,Job Details:-  1.Play a lead role in designing a sales prediction model in order to ensure ...,12 days ago
Senior Retail Analytics Associate,Mumbai,2-5 yrs,"R, Machine Learning, Python, Data Analytics, Data Visualization...",Startup - Think Analytics,  Not disclosed ,"- As a Senior Associate, you will take end to end ownership of data analytics requirements; suggest ...",10 days ago
Data Scientist - eG Innovations - Product Company,Chennai,5-8 yrs,"Machine Learning, Neural Networks, Data Mining, Data Analysis, Oracle SQL...",eG Innovations Private Limited,"    7,00,000 - 12,00,000 P.A.  ",5+ years of experience in manipulating data sets and building statistical machine learning models;You ...,12 days ago
Senior Front End Developer,Chennai,3-7 yrs,"saas, machine learning, user experience, front end, smart worker, end user,...",AskLytics Inc,"    4,00,000 - 9,00,000 P.A.  ",Create a consistent and superior user experience using novel design concepts;Experience in working and ...,7 days ago
Senior Software Architect,Chennai,10-20 yrs,"java, artificial intelligence, machine learning, hadoop, jee, networking...",Accel  Frontline Limited,  Not disclosed ,"Key Skills: Highly experience in technical management / technical leadership, architecting, defining ...",11 days ago
Hiring for It/electrical/mechanical/embedded Engineers for Japan,Japan,2-6 yrs,"JLPT, Japanese, japanese language, IIT, IT Engineer, Electrical Engineering...",Miraist Private Limited,"    30,00,000 - 45,00,000 P.A. As per company policy  ","Japanese language is not mandatory but in case you have JLPT certification, it can add value to your ...",14 days ago
Research Engineer,Delhi,3-6 yrs,"C, Computer Vision, MATLAB, Opencv, Neural Networks, Machine Learning, NLP,...",Bobble App-Startup,  Not disclosed ,Research Engineer 3 years experience We are looking for an experienced C developer who has already ...,15 days ago
Data Scientist & Analytics - Machine Learning/r/python - Startup,"Gurgaon, Gurugram",2-6 yrs,"Product Marketing, Machine Learning, Python, R, Marketing Operations...",Colangels India Pvt. Ltd,  Not disclosed ,"- Hands on experience in advance machine learning techniques/problems - Regression, forecasting, ...",12 days ago
Senior Research Engineer - Nlp/machine Learning Algorithm,"Bengaluru, Gurgaon",5-10 yrs,"Machine Learning, Natural Language Processing, NLP, Python, Data Mining...",Accord Manpower Services,  Not disclosed ,"- Strong experience in translating business requirements into prototype design, addressing the  HOW of ...",12 days ago
Lead/ Sr. SDE ( Network Station Manager),Bengaluru,12-17 yrs,"Python, C++, Java, Network Programming, Machine Learning, Sockets, Mqtt...",Careernet Technologies Pvt Ltd,  Not disclosed ,4+ years experience building Scalable applications with any common web technologies;Past Project ...,15 days ago
Technology Specialist,Hyderabad(Gachibowli),10-15 yrs,"machine learning, artificial intelligence",Cyient Limited,  Not disclosed ,"Should have basic experience in Exploratory Data Analysis, getting insights from data, natural language ...",12 days ago
Software Engineer - Full Stack Development,"Gurgaon, Gurugram",2-4 yrs,"ML models, Full Stack Development, backend, machine learning, algorithms...",HyrEzy Talent Solutions,  Not disclosed ,"- 1.5 - 3 years of experience as full stack developer;- Strong computer science fundamentals, good ...",12 days ago
Server Side Engineer - Java/python,Hyderabad,2-5 yrs,"Java, Python, Spark, Machine Learning, Cassandra, Ruby, Node.Js...",HyrEzy Talent Solutions,  Not disclosed ,server side development experience in Java AND/OR Python AND OR Node.js And/OR Ruby;- Good to great ...,12 days ago
Angular Developer,Jaipur,1-4 yrs,"backend, front end, elastic search, machine learning, Angularjs, Node.Js",OllOSoft Technologies Private Limited,"    1,25,000 - 4,00,000 P.A. Yearly Bonuses  ",- Should be a full stack developer;- Should be able to take decisions independently;- Should be able to ...,15 days ago
Computer Vision & Deep Learning Engineer,"Chennai, Bengaluru, Hyderabad",3-8 yrs,"Computer Vision, Machine Learning, C++, Python, Opencv, Webgl...",Augment Space Pty. Ltd.,"    5,00,000 - 15,00,000 P.A.  ","You must have a passion for creating beautiful, engaging, intuitive, efficient and highly usable user ...",15 days ago
Python Automation Developer(cloud): Oracle Bangalore,Bengaluru,3-8 yrs,"linux, ansible, ruby, puppet, aws, devops, jenkins, scripting...",Oracle India Pvt. Ltd.,  Not disclosed ,- Should be able to lead and drive large complex automation initiatives and project manage the same ...,4 days ago
Immediate Opening for Data Scientist @ Vee Technologies,"Bengaluru, Chennai, Salem",3-8 yrs,"C, Opencv, Image Processing, C++, MATLAB, Pattern Recognition, Opengl...",Vee Technologies Private Limited,  Not disclosed ,"Experience with open source toolkits such as Caffe, OpenCL, OpenGL, etc.;;Strong understanding and ...",11 days ago
Back End Developer - Java/solr - Tier 1 or Tier 2 Education,Mumbai,3-5 yrs,"Java, SCALA, Spring, Python, Solr, Redis, Machine Learning, Algorithms, Web...",Confidential,  Not disclosed ,- Experience in leading multi-engineer projects and mentoring junior engineers;- At least 2 years of ...,10 days ago
C++,Bengaluru,3-6 yrs,"ms sql, c++, oracle, machine learning, unix, software engineering, software...",Micro Focus Software India Private Limited,"    8,50,000 - 14,00,000 P.A.  ",The ideal candidate needs to be forward-looking and pragmatic in solving problems and must have ...,5 days ago
Machine Learning Engineer - Trainee,Chennai(Taramani),0-1 yrs,"Deep Learning, Machine Learning, Python, Communication Skills",Object Frontier Software Pvt Ltd,"    1,75,000 - 2,75,000 P.A.  ",Exposure with Python will be preferred;Good knowledge of Machine Learning/ Deep Learning will be great. ...,5 days ago
"Project Lead - Data Scientist (SAS, R, Python) ",Gurgaon,2-6 yrs,"Product management, Python, Machine learning, data science...",WellMed Medical Management,  Not disclosed ,,30 days ago
Project Lead ,Gurgaon,2-3 yrs,"Python, Information technology, Product management, Machine learning...",United Health Group Information Services Pvt. Ltd.,  Not disclosed ,,30 days ago
Other App Dev (Application Development),Bengaluru,2-5 yrs,"Application development, Machine learning, Front office, Programming...",Morgan Stanley Advantage Services Pvt. Ltd.,  Not disclosed ,,16 days ago
Principal Data Scientist,Bengaluru,7-10 yrs,"Python, Computer science, Machine learning, Forecasting, Computer vision...",Target Corporation India Pvt Ltd,  Not disclosed ,,17 days ago
Lead/SAS VA,Gurgaon,6-8 yrs,"Manager Quality Control, Analytical, SAS, Machine learning...",Incedo,  Not disclosed ,,18 days ago
Software Development Manager,Bengaluru,8-13 yrs,"Algorithms, Monitoring, puter science, Image processing...",Amazon India Software Dev Centre Pvt Ltd,  Not disclosed ,,23 days ago
SR. SPECIALIST,Gurgaon,2-5 yrs,"Consulting, Primary research, Operations research, Demand forecasting...",Bain & Company India Pvt. Ltd.,  Not disclosed ,,23 days ago
"Wanted Pharma,life Science Graduates for Clinical Data Management","Chennai, Tirupati, Vellore",0-0 yrs,"medical coding, molecular biology, biotechnology, biochemistry, zoology...",Resolve Group of companies,  Not disclosed ,Customer focus and good interpersonal skills;Qualification required: ...,24 days ago
Clinical Data Management  - Required Pharmacy & Life Sciences Freshers,"Hyderabad, Pune, Kolkata",0-1 yrs,"clinical research, pharmacovigilance, clinical data management...",Gratisol Labs,"    2,25,000 - 5,00,000 P.A. Interested candidates need to ...  ",Develop and maintain good communications and working relationships with CDM team;Ability to act ...,19 days ago
Iqvia Job Opening - Lab Data Analyst (rotational Shift),"Mumbai, Bengaluru",2-4 yrs,"sas programming, data management, data reporting, data analysis",IQVIA : The Human Data Science Company,  Not disclosed ,Must be proactive in sharing the knowledge among the team members and conducting knowledge sharing ...,1 day ago
Imaging Scientist,Hyderabad,2-7 yrs,"Analytical, Unix, Prototype, Linux, Robotics, Sensors, Python...",E I DuPont India Private Limited,  Not disclosed ,"The candidate will need to have an in-  depth understanding of practical imaging applications,  sensors ...",30 days ago
Data Scientist,Pune(Pushpak Park),4-6 yrs,"Hadoop, Hive, Pig, R, SAS, NoSQL, SQL, Java, Machine Learning, Cassandra...",Inteliment Technologies Pvt. Ltd.,  Not disclosed ,4-6 years of experience;Data-oriented personality with a good scripting and programming skills and hands ...,15 days ago
Lead Data Scientist,"Mumbai, Hyderabad",5-10 yrs,"Machine Learning, Customer Segmentation, Big Data",SHORTLIST PROFESSIONAL SERVICES PRIVATE LIMITED,  Not disclosed ,5+ years of demonstrable experience designing ML/statistical solutions/Big Data to complex business ...,18 days ago
Data Scientist - BFSI,Bengaluru,3-7 yrs,"Deep Learning, C, Python, C++, Algorithms, Java, Machine Learning, Spark...",Rinalytics Advisors,  Not disclosed ,"- Should be an expert in handling various data types and structures, structured, unstructured, voice, ...",16 days ago
Practice Head- Security BDL,Bengaluru,12-15 yrs,"Python, Presales, Open source, Consulting, RFP, Machine learning...",Wipro GSH (A Division of Wipro Limited),  Not disclosed ,"Key skills: Fast learner,  detail oriented and must enjoy fast- paced work environments 12 years of ...",18 days ago
Junior Data Scientist,Navi Mumbai,0-3 yrs,"excel, artificial intelligence, data analytics, data processing...",SCIATIVE SOLUTIONS PRIVATE LIMITED,  Not disclosed ,"-	Data processing and visualization: Summarize insights in a simple yet powerful charts, reports, slides, ...",18 days ago
Senior Software Engineer - Machine Learning,Hyderabad,8-12 yrs,"Machine Learning, Agile, QA, technical design, Docker container, cloud...",Xilinx India Technology Services Pvt. Ltd.,  Not disclosed ,"Great team player, experience working with mid to large teams and cross functional teams #hot;Exposure ...",19 days ago
Datalake Solution Lead - Data Warehousing/cloud,"Bengaluru, Greater Noida",10-20 yrs,"Solutioning, Big Data, Cloudera, Amazon Redshift, Machine Learning, Private...",Premium,  Not disclosed ,- Hands on experience leading large-scale global data warehousing and analytics projects;- 7+ years ...,30 days ago
"Data Scientist, Lead",Bengaluru,7-10 yrs,"Python, Machine Learning, R, Spark, AWS, SQL, Java programming, SAS, Scala",Conversant Software Development And Campaign Management Services LLP,  Not disclosed ,"A Ph.D., (or Masters degree plus at least 3 years relevant experience), in Computer Science, Statistics, ...",19 days ago
Senior Data Scientist,Mumbai(Chakala),8-12 yrs,"PHP, MySQL, R, Predictive Analytics, Data Analysis, Logistic Regression...",Cactus Communications Pvt. Ltd.,  Not disclosed ,Experience in successfully making use of three or more of the following: Logistic Regression ...,19 days ago
Head - Data Scientist,Mumbai,10-15 yrs,"Machine Learning, Text Mining, NLP, R, Artificial Intelligence...",Cryta Services Pvt. Ltd.,  Not disclosed ,"- Experience of handling various data types and structures: structured and unstructured data, validating ...",22 days ago
Machine Learning,Bengaluru,6-8 yrs,"Python, MATLAB, Image processing, Machine learning, Business process...",Accenture,  Not disclosed ,"2 Good knowledge of topics like convex optimization,  gradient decent,  quadratic programming,  partial ...",25 days ago
LTI Hiring - Machine Learning - Chennai,Chennai,3-5 yrs,"Hadoop, Hive, Impala, Deep Learning, NoSQL, Pig, HBase, Java, NLP...",Larsen & Toubro Infotech Limited,"    1,00,000 - 5,00,000 P.A.  ","Experience with common data science toolkits;Experience with data visualization tools, such as D3, ...",26 days ago
Test Principal Engineer India R&D,Bengaluru,2-4 yrs,"Principal, Automation, Workflow, Coding, Cloud computing, Simulation...",Dell International Services India  Private Limited,  Not disclosed ,,29 days ago
Java Developer with Bigdata Exp,Pune,1-3 yrs,"Core Java, Python, Data modeling, Data analysis, Data mining...",Citibank  N.A,  Not disclosed ,"Experience with building stream  -  processing systems  ,  using solutions such as Spark  -  Streaming  , ...",29 days ago
Data Engineer - Machine Learning,Mumbai,2-6 yrs,"Hive, Oozie, Hdfs, Mapreduce, Spark, NoSQL, Pig, HBase, YARN, Java",The Hiring Story,  Not disclosed ,"- Experience in gathering and processing raw data at scale including writing scripts, web scraping, ...",25 days ago
Data Scientist,Mumbai,3-8 yrs,"SAS, R, Predictive Modeling, Arima, Time Series, SQL, Advanced Analytics...",Bristlecone India Limited,  Not disclosed ,- Interact with clients and internal stakeholders to capture business requirement;- 3+ year of extensive ...,29 days ago
Analytics ( Python / R Programmer),Mumbai,3-8 yrs,"R, Predictive Modeling, SAS, SQL, Arima, Time Series, Predictive Analytics,...",Bristlecone India Limited,  Not disclosed ,Experience 4 year of extensive experience in Advanced Analytics Predictive modelling Time series ARIMA ...,29 days ago
Technical Architect - Product Firm,Bengaluru,15-20 yrs,"Algorithms, Information Retrieval, Natural Language Processing...",Brilliant Seeker Services,  Not disclosed ,- Proven experience in building scalable components across projects handled;- Experience in building ...,25 days ago
General Manager/vice President - Machine Learning - Product Firm,Bengaluru,14-22 yrs,"C, C++, Computer Vision, Opencv, MATLAB, Algorithms, Deep Learning, Python,...",Brilliant Seeker Services,  Not disclosed ,Must have worked with the team spread across geographies;- Experience in devising/enhancing machine ...,26 days ago
Senior Manager - Risk Analytics,Gurgaon,3-5 yrs,"risk analytics, data analysis, machine learning, performance measurement...",Rinalytics Advisors,  Not disclosed ,- At least 3+years experience in building statistical regression scorecards and machine learning ...,26 days ago
Deep Learning Engineer - Machine Learning,Bengaluru,2-5 yrs,"deep learning, python, java, machine learning, ruby, image processing...",Intello Labs - Startup,  Not disclosed ,"Core Areas : Python or Ruby on Rails or Java, Image Processing, Deep Learning/ Machine Learning good to ...",29 days ago
